id,Qmax,theta,sigma,vmaSa,vvm,vmv,vvc,vvh,Xi,mu,taum,tauv,w,D,Da,alpha
philrob2007,100,10,3,1,1.9,1.9,6.3,0.19,38880,3.6,10,10,7.27E-05,0.77,0.42,0
philrob2008,100,10,3,1,1.9,1.9,6.3,0.19,38880,3.6,10,10,7.27E-05,0.77,0.42,0
